product_name,product_category_tree,retail_price,discounted_price,brand,discounted_percent
Wrangler Skanders Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Wrangler Jeans""]",2795.0,1817.0,Skanders,34.991055456171736
Wrangler Regular Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Wrangler Jeans""]",3295.0,1812.0,Regular,45.007587253414265
NE Regular Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> NE Jeans""]",4999.0,1899.0,Regular,62.0124024804961
Roadster Skinny Fit Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Roadster Jeans""]",2499.0,1249.0,Skinny Fit,50.020008003201276
"ezyPRNT ""RH"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm","[""Sports & Fitness >> Other Sports >> Golf >> Golf Balls >> ezyPRNT Golf Balls >> ezyPRNT \""RH\"" Golf Ball -   Size: 4.26 cm,  Diame...""]",1195.0,595.0,ezyPRNT,50.2092050209205
"ezyPRNT ""BC"" Golf Ball -   Size: 4,  Diameter: 4.26 cm","[""Sports & Fitness >> Other Sports >> Golf >> Golf Balls >> ezyPRNT Golf Balls >> ezyPRNT \""BC\"" Golf Ball -   Size: 4,  Diameter: 4...""]",1195.0,595.0,ezyPRNT,50.2092050209205
"ezyPRNT ""OL"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm","[""Sports & Fitness >> Other Sports >> Golf >> Golf Balls >> ezyPRNT Golf Balls >> ezyPRNT \""OL\"" Golf Ball -   Size: 4.26 cm,  Diame...""]",1195.0,595.0,ezyPRNT,50.2092050209205
"ezyPRNT ""CV"" Golf Ball -   Size: 4,  Diameter: 4.26 cm","[""Sports & Fitness >> Other Sports >> Golf >> Golf Balls >> ezyPRNT Golf Balls >> ezyPRNT \""CV\"" Golf Ball -   Size: 4,  Diameter: 4...""]",1195.0,595.0,ezyPRNT,50.2092050209205
Traditions Printed Protective Men's Gloves,"[""Clothing >> Men's Clothing >> Accessories & Combo Sets >> Gloves >> Traditions Gloves >> Traditions Printed Protective Men's Gloves""]",500.0,399.0,Traditions,20.200000000000003
First Choice Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> First Choice Diwan Sets >> First Choice Cotton Embroidered Diwan Set""]",2199.0,979.0,First Choice,55.47976352887676
